title,img href,text
Главный редактор Onliner Николай Козлович: запрет на профессию? Но каждый может стать журналистом и эти планы сорвать,https://content.onliner.by/news/970x485/65fce4ec4d8238a6000a7273f8028700.jpeg,Примерно так переключают пультом телик — с канала про рыбалку на канал про инопланетян. Так режут огурец под оливье.
Лилия Власова под домашним арестом. Она стала еще одним освобожденным участником «встречи с Лукашенко»,https://content.onliner.by/news/970x485/4a5318ce0a986f5bc03ba32d64418e3c.png,Члену президиума Координационного совета Лилии Власовой сегодня изменили меру пресечения на домашний арест. Об этом Onliner сообщил ее адвокат.
"Цой, что ты наделал... В гродненском караоке отменили «Хочу перемен» и другие «политические песни»",https://content.onliner.by/news/970x485/f2698ab5fa18dd0c3d15a1c5e81d725e.jpeg,"Любопытный документ прислал нам читатель. Это приказ по ООО «ЧЕМПИ Гродно», к которому относится кафе «Чемпи»: директор запрещает включать в караоке песни, «содержащие скрытый политический подтекст»."
"Белорус борется с паническими атаками, когда слышит гул машин и видит автозаки",https://content.onliner.by/news/1400x5616/2e8eeddd9f27e932726f78303c935a20.jpeg,"2020 год стал стресс-тестом для психики белорусов. Все началось с коронавируса — казалось, что худшего испытания нервной системы уже не предвидится. Но наступило 9 августа."
"Наши за границей. Продать квартиру и переехать в Египет, чтобы снимать видео о пляжах, яхтах и дорогих отелях",https://content.onliner.by/news/1400x5616/a571b9899ba4caf4a0da5f6e9c045b41.jpeg,"Валентина (33 года) и Максим (34) Анисимовы, конечно, удивили родную маленькую Любань: все продали, махнули рукой на серую хлябь за окном, схватили дочерей под мышку и перебрались в солнечный Египет."
Пенсионеры снова вышли на марш. И встретились там со сторонниками Лукашенко,https://content.onliner.by/news/1400x5616/9776c0888ce3a25b842688a987c4ebda.jpeg,Вот уже третий понедельник подряд пенсионеры Минска и других городов выходят на марши. Сегодня пожилые люди с бело-красно-белыми флагами и плакатами снова пришли на площадь Независимости.
"Хроника дня. Шкляров, Власова и Салей под домашним арестом, студенты продолжают акции солидарности",https://content.onliner.by/news/970x485/c54e358720457b4793ee7762bf23d4bb.jpeg,"Это очередная политическая хроника. Сегодня стало известно, что Виталию Шклярову, Лилии Власовой и Илье Салею изменили меру пресечения - их перевели под домашний арест."
Обзор первого игрового ноутбука Redmi. Что пошло не так?,https://content.onliner.by/news/1400x5616/10d21371447497978a0453d6a3e7ee45.jpeg,"Redmi G — первый игровой ноутбук под этим брендом, но очередной в ассортименте Xiaomi. Компания давно известна на этом рынке, где сейчас доминируют, правда, другие игроки."
Чтобы уши не завяли. Потестировали наушники Xiaomi — дорогие и дешевые,https://content.onliner.by/news/1400x5616/ac3560569fe81d2d14ab07954bd3109a.jpeg,"Очень сложно выбрать наушники, если вокруг «тысячи миллионов» разных брендов, у которых еще и девайсов в продуктовой линейке как нулей в госдолге страны."
Пьем кофе не спеша. Обзор стаканов с двойными стенками,https://content.onliner.by/news/970x485/e34d1ca770148e3d286eacfdfcc636a1.jpeg,"Кофе стал неотъемлемой частью жизни большинства жителей нашей планеты. Каждый год в мире выпивают около 500 млрд чашек кофе, более половины из них — за завтраком (или вместо него)."
"Беларуская літаратура, якую вы не ведалі. Лекцыя Віктара Марціновіча",https://content.onliner.by/news/1400x5616/0076b924c0713554002c9fd0a1f7b9ef.jpeg,"Мяне завуць Віктар Марціновіч, і я паразмаўляю з вамі пра беларускую літаратуру."
"Дзесяць беларускіх мастакоў, якіх павінен ведаць кожны. Лекцыя Сяргея Харэўскага",https://content.onliner.by/news/1400x5616/7deafe44b938effcd7ef1a7af2fd5150.jpeg,"Беларускае мастацтва надзвычай шматграннае! У ім спалучаецца і неверагодная любоў да радзімы, дзякуючы якой мы можам пабачыць цудоўныя беларускія краявіды і культавыя месцы розных часоў, вынаходніцтвы"
60 год беларускага рок-н-рола. Лекцыя Сяргея Будкіна,https://content.onliner.by/news/1400x5616/93a20fbfbc63a31f00d7b5f52ade3b18.jpeg,"Я распавяду, магчыма, пра менш за ўсё даследаваны на сёння кавалак нашай музычнай гісторыі, які для мне асабіста самы прывабны."
Разбили за плакат с цитатой из Уголовного кодекса или само разбилось? Странная история,https://content.onliner.by/news/970x485/e191b34ce09e4cfaee6f5ad19a4bfe2b.jpeg,"История странная, поэтому сначала только факты: Volkswagen был припаркован за воротами частного дома в деревне Прилесье (Минский район, не доезжая Привольного по могилевской трассе)."
Путепровод на развязке Победителей — Орловская открыт для движения,https://content.onliner.by/news/1400x5616/44c98d4db1cec2e60c107ae50c390fa2.jpeg,"Вот так тихо, почти незаметно, без фанфар и перерезания ленточек в Минске после реконструкции открыли для движения один из важнейших путепроводов: тот, что расположен на пересечении проспекта Победите"
"Возле «Мотовело» силовики заблокировали авто, последовало жесткое задержание",https://content.onliner.by/news/970x485/d784ab1cec3edf15abd935b480d2f44d.jpeg,"Основные события, связанные с протестами в Минске, происходят сегодня на Партизанском проспекте, туда же стянуты силы силовиков."
На улице Якуба Коласа убирают новаторскую разметку на трамвайной остановке,https://content.onliner.by/news/1400x5616/4fbf8874cd31aaef76aa8654b555dd54.jpeg,"Около недели назад мы сообщали о том, что на улице Якуба Коласа в Минске, в районе трамвайной остановки «Белинского», появилась новаторская разметка."
"В Минске за рулем скончался водитель, причина выясняется",https://content.onliner.by/news/970x485/13256baa384cf9789975823bdbfbf2d4.jpeg,"В ГАИ Минска сообщили, что сегодня около 12:20 на улице Мазурова автомобиль Opel Astra попал в ДТП: машина выехала за пределы проезжей части и врезалась в столб."
"Жертва автомошенника: сдал Skoda в аренду, машина оказалась в Москве. Теперь говорят, ищи в Казахстане",https://content.onliner.by/news/1400x5616/99d3bb697a12d15614e12fd2c78ad1ad.jpeg,В конце сентября автопрокатчики забили тревогу: значительно участились случаи похищения автомобилей.
