title,img href,text
Экономист Катерина Борнукова: Россия нам поможет? Об экономической помощи и интересах нашего главного партнера,https://content.onliner.by/news/1400x5616/098da2b8c706fc09ff1311a3227ef81b.jpeg,"Сегодня очень много говорится о том, что помощь России может сыграть решающую роль в спасении нашей национальной экономики."
"ЧМТ, перелом носа и многочисленные ушибы. Какие травмы зафиксировали врачи у Максима Хорошина с резонансного видео",https://content.onliner.by/news/970x485/1bae13d72b928c73e2f7978f94ab9e48.jpeg,"После задержания совладельца цветочного магазина Максима Хорошина, ГУВД Мингорисполкома заявило, что «в части причинения телесных повреждений, о которых сообщается в некоторых интернет-источниках, инф"
"Так изменилась жизнь белорусских спасателей, покинувших МЧС из-за политики",https://content.onliner.by/news/1400x5616/cb355d7a3eb7e541561b71dc80c62d1b.jpeg,"До августа нам казалось, что работа спасателей никак не связана с политикой. Но лето закончилось, пришла осень, и этот стереотип рухнул."
Минчанка: «Меня с дочерью облил грязью таксист». Комментарий компании,https://content.onliner.by/news/970x485/307e507cbcc0bdb54268de22b13daa32.jpeg,"Жительница столицы Марина вела дочь в школу по ул. Авакяна, когда невольно стала участником неприятного инцидента. Volkswagen с наклейками «Яндекс."
«Продлевают сроки уже который раз». Пострадавшие от действий силовиков рассказывают о результатах проверки,https://content.onliner.by/news/1400x5616/3c522e376e8d8b6f2b64cd2a739fd458.jpeg,1800 заявлений — это последние сведения о количестве обратившихся в Следственный комитет по поводу применения насилия к задержанным во время протестов.
В Ждановичах хотят построить многоэтажку для сотрудников МВД. Местные жители негодуют,https://content.onliner.by/news/1400x5616/9aee7d5920dbe8dfab5ce7ac78f8cf8f.jpeg,В Ждановичах хотят построить многоэтажку для сотрудников МВД.
"Интересные электромобили из Китая, которые можно пригонять уже сейчас",https://content.onliner.by/news/1400x5616/09f461b428244dd38abed77649f2360a.jpeg,"Еще недавно фразой «пригнал себе машину из Китая» можно было начинать анекдот. Да и заканчивать тоже. Белорусы возили автомобили из Европы, США, Канады, ОАЭ, России и даже Южной Кореи. Но не из Китая."
"«Про запуск ПВТ у нас говорили: „А почему мы так сделать не можем?“» Украинский IT-бизнесмен о Diia City, ПВТ и белорусских айтишниках",https://content.onliner.by/news/1400x5616/402a45968e5153b319706f1b3f099f06.jpeg,"В начале сентября стало известно о разработке в Украине проекта Diia City. Это концепция создания особых условий для IT-компаний, которая предполагает льготное налогообложение и другие преимущества."
От 260 рублей за пуховик до 970 за тренч. Обзор верхней одежды от белорусских дизайнеров,https://content.onliner.by/news/1400x5616/165aa9b00a28ef4df84dc47702d82486.jpeg,"Давайте утепляться. Осень уже даже не осень, а почти зима: в кожанке или ветровке не погуляешь. Советуем обратить внимание на верхнюю одежду от белорусских дизайнеров, потому как им сейчас нелегко."
"СПЕЦПРОЕКТ
Будет чисто. Наводим порядок в доме, где живут коты, собаки и прочие друзья человека",https://content.onliner.by/news/1400x5616/0c13906b6f01a6ac2d846aa24d9195cd.jpeg,Уборка — дело неизбежное.
